IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
77.232.140.160,4,4,0.00,191.28,0.00,N/A
185.162.230.142,4,4,0.00,191.32,0.00,N/A
162.159.1.134,4,4,0.00,191.41,0.00,N/A
162.159.57.73,4,4,0.00,191.57,0.00,N/A
188.114.98.206,4,4,0.00,191.59,0.00,N/A
89.207.18.15,4,4,0.00,191.60,0.00,N/A
162.159.240.125,4,4,0.00,191.61,0.00,N/A
162.159.194.111,4,4,0.00,191.65,0.00,N/A
198.41.199.120,4,4,0.00,191.73,0.00,N/A
154.218.15.212,4,4,0.00,191.73,0.00,N/A
104.129.167.102,4,4,0.00,191.80,0.00,N/A
162.159.148.87,4,4,0.00,191.83,0.00,N/A
188.164.248.129,4,4,0.00,192.00,0.00,N/A
162.159.44.9,4,4,0.00,192.00,0.00,N/A
14.102.229.133,4,4,0.00,192.01,0.00,N/A
167.68.11.153,4,4,0.00,192.14,0.00,N/A
162.159.93.236,4,4,0.00,192.26,0.00,N/A
162.159.207.172,4,4,0.00,192.38,0.00,N/A
194.113.223.35,4,4,0.00,192.58,0.00,N/A
45.135.235.136,4,4,0.00,192.63,0.00,N/A
94.247.142.116,4,4,0.00,192.69,0.00,N/A
162.159.128.21,4,4,0.00,192.71,0.00,N/A
25.129.198.119,4,4,0.00,192.73,0.00,N/A
45.95.241.67,4,4,0.00,192.76,0.00,N/A
114.129.43.112,4,4,0.00,192.79,0.00,N/A
162.159.10.27,4,4,0.00,192.83,0.00,N/A
91.199.81.21,4,4,0.00,192.85,0.00,N/A
162.159.235.105,4,4,0.00,192.90,0.00,N/A
104.129.166.225,4,4,0.00,193.01,0.00,N/A
185.162.230.207,4,4,0.00,193.03,0.00,N/A
162.159.7.187,4,4,0.00,193.16,0.00,N/A
155.46.213.222,4,4,0.00,193.17,0.00,N/A
162.159.153.185,4,4,0.00,193.18,0.00,N/A
162.159.144.251,4,4,0.00,193.34,0.00,N/A
162.159.7.232,4,4,0.00,193.37,0.00,N/A
198.41.211.198,4,4,0.00,193.41,0.00,N/A
77.74.228.178,4,4,0.00,193.52,0.00,N/A
216.198.53.27,4,4,0.00,193.54,0.00,N/A
80.93.202.238,4,4,0.00,193.59,0.00,N/A
203.34.80.112,4,4,0.00,193.60,0.00,N/A
162.159.152.122,4,4,0.00,193.71,0.00,N/A
170.114.46.4,4,4,0.00,193.71,0.00,N/A
207.189.149.175,4,4,0.00,193.83,0.00,N/A
23.247.163.78,4,4,0.00,194.15,0.00,N/A
196.207.45.218,4,4,0.00,194.30,0.00,N/A
23.227.39.25,4,4,0.00,194.30,0.00,N/A
80.93.202.60,4,4,0.00,194.61,0.00,N/A
162.159.145.203,4,4,0.00,194.65,0.00,N/A
92.53.188.217,4,4,0.00,194.68,0.00,N/A
198.202.211.207,4,4,0.00,194.71,0.00,N/A
162.159.234.187,4,4,0.00,194.73,0.00,N/A
198.202.211.3,4,4,0.00,194.78,0.00,N/A
5.10.246.40,4,4,0.00,194.81,0.00,N/A
162.159.255.96,4,4,0.00,194.86,0.00,N/A
162.159.91.103,4,4,0.00,194.98,0.00,N/A
108.165.152.138,4,4,0.00,194.99,0.00,N/A
45.131.6.250,4,4,0.00,195.10,0.00,N/A
203.34.28.217,4,4,0.00,195.12,0.00,N/A
89.117.112.128,4,4,0.00,195.13,0.00,N/A
45.131.7.55,4,4,0.00,195.29,0.00,N/A
45.142.120.126,4,4,0.00,195.31,0.00,N/A
216.120.180.27,4,4,0.00,195.35,0.00,N/A
5.10.244.53,4,4,0.00,195.35,0.00,N/A
185.193.31.189,4,4,0.00,195.42,0.00,N/A
172.83.73.36,4,4,0.00,195.59,0.00,N/A
162.159.136.71,4,4,0.00,195.61,0.00,N/A
162.159.15.141,4,4,0.00,195.68,0.00,N/A
104.129.164.63,4,4,0.00,195.70,0.00,N/A
162.159.201.2,4,4,0.00,195.76,0.00,N/A
66.81.247.106,4,4,0.00,195.97,0.00,N/A
92.53.189.214,4,4,0.00,195.97,0.00,N/A
198.41.194.251,4,4,0.00,196.20,0.00,N/A
162.159.3.24,4,4,0.00,196.33,0.00,N/A
49.238.236.43,4,4,0.00,196.36,0.00,N/A
216.120.181.111,4,4,0.00,196.37,0.00,N/A
203.55.107.71,4,4,0.00,196.51,0.00,N/A
216.120.131.138,4,4,0.00,196.58,0.00,N/A
162.159.229.183,4,4,0.00,196.62,0.00,N/A
203.29.54.236,4,4,0.00,196.65,0.00,N/A
162.159.94.165,4,4,0.00,196.68,0.00,N/A
162.159.251.149,4,4,0.00,196.91,0.00,N/A
62.72.166.130,4,4,0.00,196.92,0.00,N/A
23.227.38.30,4,4,0.00,196.93,0.00,N/A
203.34.80.15,4,4,0.00,196.95,0.00,N/A
195.85.59.1,4,4,0.00,197.00,0.00,N/A
45.131.4.244,4,4,0.00,197.03,0.00,N/A
170.114.46.166,4,4,0.00,197.15,0.00,N/A
162.159.7.182,4,4,0.00,197.19,0.00,N/A
198.41.195.175,4,4,0.00,197.22,0.00,N/A
23.227.39.43,4,4,0.00,197.24,0.00,N/A
86.38.214.201,4,4,0.00,197.37,0.00,N/A
104.129.164.211,4,4,0.00,197.46,0.00,N/A
155.46.167.40,4,4,0.00,197.51,0.00,N/A
198.41.218.127,4,4,0.00,197.54,0.00,N/A
154.92.9.127,4,4,0.00,197.70,0.00,N/A
162.159.7.231,4,4,0.00,197.82,0.00,N/A
162.120.94.9,4,4,0.00,197.82,0.00,N/A
92.53.189.188,4,4,0.00,197.88,0.00,N/A
162.159.213.68,4,4,0.00,197.95,0.00,N/A
198.41.195.122,4,4,0.00,197.99,0.00,N/A
69.48.218.179,4,4,0.00,198.16,0.00,N/A
162.159.231.118,4,4,0.00,198.17,0.00,N/A
203.24.102.208,4,4,0.00,198.28,0.00,N/A
162.159.27.54,4,4,0.00,198.29,0.00,N/A
194.39.115.5,4,4,0.00,198.31,0.00,N/A
88.216.67.255,4,4,0.00,198.37,0.00,N/A
89.117.112.215,4,4,0.00,198.67,0.00,N/A
162.159.252.60,4,4,0.00,198.68,0.00,N/A
190.93.244.166,4,4,0.00,198.72,0.00,N/A
104.254.140.156,4,4,0.00,198.75,0.00,N/A
203.28.9.214,4,4,0.00,198.85,0.00,N/A
31.12.75.197,4,4,0.00,198.89,0.00,N/A
25.26.27.108,4,4,0.00,199.01,0.00,N/A
185.18.250.223,4,4,0.00,199.04,0.00,N/A
194.39.115.215,4,4,0.00,199.11,0.00,N/A
162.159.1.225,4,4,0.00,199.15,0.00,N/A
5.226.179.172,4,4,0.00,199.17,0.00,N/A
162.159.194.217,4,4,0.00,199.18,0.00,N/A
172.83.76.59,4,4,0.00,199.19,0.00,N/A
103.116.7.225,4,4,0.00,199.27,0.00,N/A
104.129.167.24,4,4,0.00,199.33,0.00,N/A
203.24.108.129,4,4,0.00,199.39,0.00,N/A
185.159.247.43,4,4,0.00,199.39,0.00,N/A
104.234.239.173,4,4,0.00,199.44,0.00,N/A
89.117.112.139,4,4,0.00,199.45,0.00,N/A
91.193.58.177,4,4,0.00,199.47,0.00,N/A
139.64.235.117,4,4,0.00,199.53,0.00,N/A
74.49.215.237,4,4,0.00,199.56,0.00,N/A
185.159.247.128,4,4,0.00,199.56,0.00,N/A
162.159.232.23,4,4,0.00,199.73,0.00,N/A
162.159.25.107,4,4,0.00,199.76,0.00,N/A
23.247.163.137,4,4,0.00,199.89,0.00,N/A
